hypothesis,group,seed,cell_id,luck_level,experiment_id,max_depth,net_profit
H3,experiment_1,10000183,pickaxe_nofood,1,1,10.0,-258.70000000000005
H3,experiment_1,10000184,pickaxe_nofood,1,1,8.0,110.19999999999982
H3,experiment_1,10000185,pickaxe_nofood,1,1,2.0,-529.6
H3,experiment_1,10000186,pickaxe_nofood,1,1,10.0,-448.4000000000001
H3,experiment_1,10000187,pickaxe_nofood,1,1,4.0,173.89999999999986
H3,experiment_1,10000188,pickaxe_nofood,1,1,4.0,-215.30000000000007
H3,experiment_1,10000189,pickaxe_nofood,1,1,10.0,-619.2
H3,experiment_1,10000190,pickaxe_nofood,1,1,9.0,498.0
H3,experiment_1,10000191,pickaxe_nofood,1,1,13.0,486.0999999999999
H3,experiment_1,10000192,pickaxe_nofood,1,1,2.0,-620.6
H3,experiment_1,10000193,pickaxe_nofood,1,1,15.0,-619.2
H3,experiment_1,10000194,pickaxe_nofood,1,1,3.0,-586.3
H3,experiment_1,10000195,pickaxe_nofood,1,1,12.0,219.39999999999984
H3,experiment_1,10000196,pickaxe_nofood,1,1,6.0,593.1999999999998
H3,experiment_1,10000197,pickaxe_nofood,1,1,9.0,-129.9000000000001
H3,experiment_1,10000198,pickaxe_nofood,1,1,12.0,663.8999999999999
H3,experiment_1,10000199,pickaxe_nofood,1,1,8.0,-350.4000000000001
H3,experiment_1,10000200,pickaxe_nofood,1,1,7.0,537.8999999999999
H3,experiment_1,10000201,pickaxe_nofood,1,1,7.0,-80.20000000000005
H3,experiment_1,10000202,pickaxe_nofood,1,1,3.0,-307.70000000000005
H3,experiment_1,10000203,pickaxe_nofood,1,1,7.0,-456.80000000000007
H3,experiment_1,10000204,pickaxe_nofood,1,1,4.0,52.09999999999991
H3,experiment_1,10000205,pickaxe_nofood,1,1,3.0,-631.8
H3,experiment_1,10000206,pickaxe_nofood,1,1,6.0,-120.10000000000002
H3,experiment_1,10000207,pickaxe_nofood,1,1,8.0,-77.40000000000009
H3,experiment_1,10000208,pickaxe_nofood,1,1,15.0,292.89999999999986
H3,experiment_1,10000209,pickaxe_nofood,1,1,15.0,-216.70000000000005
H3,experiment_1,10000210,pickaxe_nofood,1,1,2.0,-707.4000000000001
H3,experiment_1,10000211,pickaxe_nofood,1,1,18.0,719.8999999999999
H3,experiment_1,10000212,pickaxe_nofood,1,1,6.0,448.3
H3,experiment_1,10000213,pickaxe_nofood,1,1,5.0,381.8
H3,experiment_1,10000214,pickaxe_nofood,1,1,7.0,-75.30000000000007
H3,experiment_1,10000215,pickaxe_nofood,1,1,11.0,-587.0
H3,experiment_1,10000216,pickaxe_nofood,1,1,21.0,331.39999999999986
H3,experiment_1,10000217,pickaxe_nofood,1,1,9.0,724.0999999999999
H3,experiment_1,10000218,pickaxe_nofood,1,1,2.0,-515.6
H3,experiment_1,10000219,pickaxe_nofood,1,1,5.0,-643.7
H3,experiment_1,10000220,pickaxe_nofood,1,1,25.0,-129.20000000000005
H3,experiment_1,10000221,pickaxe_nofood,1,1,9.0,120.0
H3,experiment_1,10000222,pickaxe_nofood,1,1,3.0,-155.10000000000002
H3,experiment_1,10000223,pickaxe_nofood,1,1,16.0,310.39999999999986
H3,experiment_1,10000224,pickaxe_nofood,1,1,6.0,439.1999999999998
H3,experiment_1,10000225,pickaxe_nofood,1,1,8.0,-192.20000000000005
H3,experiment_1,10000226,pickaxe_nofood,1,1,10.0,236.19999999999985
H3,experiment_1,10000227,pickaxe_nofood,1,1,17.0,56.29999999999996
H3,experiment_1,10000228,pickaxe_nofood,1,1,3.0,-570.9000000000001
H3,experiment_1,10000229,pickaxe_nofood,1,1,15.0,883.6999999999998
H3,experiment_1,10000230,pickaxe_nofood,1,1,3.0,-373.5
H3,experiment_1,10000231,pickaxe_nofood,1,1,5.0,-55.700000000000045
H3,experiment_1,10000232,pickaxe_nofood,1,1,2.0,-488.3
H3,experiment_1,10000233,pickaxe_nofood,1,1,3.0,1089.5
H3,experiment_1,10000234,pickaxe_nofood,1,1,20.0,123.5
H3,experiment_1,10000235,pickaxe_nofood,1,1,10.0,173.89999999999986
H3,experiment_1,10000236,pickaxe_nofood,1,1,7.0,-94.90000000000008
H3,experiment_1,10000237,pickaxe_nofood,1,1,23.0,391.5999999999999
H3,experiment_1,10000238,pickaxe_nofood,1,1,5.0,-563.9000000000001
H3,experiment_1,10000239,pickaxe_nofood,1,1,5.0,91.29999999999995
H3,experiment_1,10000240,pickaxe_nofood,1,1,7.0,234.79999999999995
H3,experiment_1,10000241,pickaxe_nofood,1,1,2.0,-799.1
H3,experiment_1,10000242,pickaxe_nofood,1,1,22.0,233.39999999999984
H3,experiment_1,10000243,pickaxe_nofood,1,1,5.0,-13.000000000000114
H3,experiment_1,10000244,pickaxe_nofood,1,1,10.0,-349.70000000000005
H3,experiment_1,10000245,pickaxe_nofood,1,1,2.0,-482.0
H3,experiment_1,10000246,pickaxe_nofood,1,1,4.0,-400.1
H3,experiment_1,10000247,pickaxe_nofood,1,1,17.0,-129.9000000000001
H3,experiment_1,10000248,pickaxe_nofood,1,1,5.0,-19.300000000000068
H3,experiment_1,10000249,pickaxe_nofood,1,1,3.0,-177.5
H3,experiment_1,10000250,pickaxe_nofood,1,1,3.0,-360.9000000000001
H3,experiment_1,10000251,pickaxe_nofood,1,1,2.0,-471.5
H3,experiment_1,10000252,pickaxe_nofood,1,1,3.0,-370.0
H3,experiment_1,10000253,pickaxe_nofood,1,1,7.0,82.89999999999986
H3,experiment_1,10000254,pickaxe_nofood,1,1,19.0,136.0999999999999
H3,experiment_1,10000255,pickaxe_nofood,1,1,2.0,-242.6
H3,experiment_1,10000256,pickaxe_nofood,1,1,7.0,-269.20000000000005
H3,experiment_1,10000257,pickaxe_nofood,1,1,24.0,664.5999999999999
H3,experiment_1,10000258,pickaxe_nofood,1,1,13.0,652.6999999999998
H3,experiment_1,10000259,pickaxe_nofood,1,1,2.0,-239.1
H3,experiment_1,10000260,pickaxe_nofood,1,1,4.0,-234.20000000000005
H3,experiment_1,10000261,pickaxe_nofood,1,1,7.0,50.700000000000045
H3,experiment_1,10000262,pickaxe_nofood,1,1,1.0,-708.8
H3,experiment_1,10000263,pickaxe_nofood,1,1,4.0,-90.00000000000011
H3,experiment_1,10000264,pickaxe_nofood,1,1,3.0,-656.3
H3,experiment_1,10000265,pickaxe_nofood,1,1,6.0,157.79999999999995
H3,experiment_1,10000266,pickaxe_nofood,1,1,2.0,-27.000000000000117
H3,experiment_1,10000267,pickaxe_nofood,1,1,12.0,-13.000000000000114
H3,experiment_1,10000268,pickaxe_nofood,1,1,7.0,-518.4000000000001
H3,experiment_1,10000269,pickaxe_nofood,1,1,5.0,160.5999999999999
H3,experiment_1,10000270,pickaxe_nofood,1,1,2.0,-148.10000000000002
H3,experiment_1,10000271,pickaxe_nofood,1,1,4.0,-20.700000000000045
H3,experiment_1,10000272,pickaxe_nofood,1,1,20.0,1017.4
H3,experiment_1,10000273,pickaxe_nofood,1,1,5.0,-118.0
H3,experiment_1,10000274,pickaxe_nofood,1,1,7.0,-75.30000000000007
H3,experiment_1,10000275,pickaxe_nofood,1,1,2.0,-483.4
H3,experiment_1,10000276,pickaxe_nofood,1,1,4.0,-206.20000000000005
H3,experiment_1,10000277,pickaxe_nofood,1,1,24.0,307.5999999999999
H3,experiment_1,10000278,pickaxe_nofood,1,1,2.0,-498.8
H3,experiment_1,10000279,pickaxe_nofood,1,1,11.0,736.6999999999998
H3,experiment_1,10000280,pickaxe_nofood,1,1,7.0,-264.30000000000007
H3,experiment_1,10000281,pickaxe_nofood,1,1,6.0,-64.10000000000002
H3,experiment_1,10000282,pickaxe_nofood,1,1,6.0,486.8
H3,experiment_1,10000283,pickaxe_nofood,1,1,6.0,-282.5
H3,experiment_1,10000284,pickaxe_nofood,1,1,5.0,-193.6
H3,experiment_1,10000285,pickaxe_nofood,1,1,6.0,-60.60000000000002
H3,experiment_1,10000286,pickaxe_nofood,1,1,17.0,948.8
H3,experiment_1,10000287,pickaxe_nofood,1,1,20.0,461.5999999999999
H3,experiment_1,10000288,pickaxe_nofood,1,1,4.0,-202.70000000000005
H3,experiment_1,10000289,pickaxe_nofood,1,1,5.0,-443.5
H3,experiment_1,10000290,pickaxe_nofood,1,1,15.0,-150.20000000000005
H3,experiment_1,10000291,pickaxe_nofood,1,1,14.0,231.29999999999995
H3,experiment_1,10000292,pickaxe_nofood,1,1,14.0,130.5
H3,experiment_1,10000293,pickaxe_nofood,1,1,13.0,1166.5
H3,experiment_1,10000294,pickaxe_nofood,1,1,2.0,-702.5
H3,experiment_1,10000295,pickaxe_nofood,1,1,4.0,234.79999999999995
H3,experiment_1,10000296,pickaxe_nofood,1,1,10.0,161.29999999999995
H3,experiment_1,10000297,pickaxe_nofood,1,1,10.0,-127.80000000000008
H3,experiment_1,10000298,pickaxe_nofood,1,1,8.0,-468.0
H3,experiment_1,10000299,pickaxe_nofood,1,1,2.0,-563.2
H3,experiment_1,10000300,pickaxe_nofood,1,1,25.0,-117.30000000000008
H3,experiment_1,10000301,pickaxe_nofood,1,1,3.0,-201.30000000000007
H3,experiment_1,10000302,pickaxe_nofood,1,1,10.0,236.89999999999984
H3,experiment_1,10000303,pickaxe_nofood,1,1,7.0,-216.70000000000005
H3,experiment_1,10000304,pickaxe_nofood,1,1,12.0,822.0999999999999
H3,experiment_1,10000305,pickaxe_nofood,1,1,6.0,49.29999999999996
H3,experiment_1,10000306,pickaxe_nofood,1,1,24.0,1170.0
H3,experiment_1,10000307,pickaxe_nofood,1,1,7.0,1427.6
H3,experiment_1,10000308,pickaxe_nofood,1,1,12.0,740.8999999999999
H3,experiment_1,10000309,pickaxe_nofood,1,1,10.0,995.6999999999998
H3,experiment_1,10000310,pickaxe_nofood,1,1,21.0,1822.4
H3,experiment_1,10000311,pickaxe_nofood,1,1,8.0,-254.5
H3,experiment_1,10000312,pickaxe_nofood,1,1,12.0,576.3999999999999
H3,experiment_1,10000313,pickaxe_nofood,1,1,6.0,145.89999999999986
H3,experiment_1,10000314,pickaxe_nofood,1,1,10.0,195.5999999999999
H3,experiment_1,10000315,pickaxe_nofood,1,1,10.0,-488.3
